local_id,nft_id,name,card_text,power,hp,color,tier,supply,set,colorless_cost,red_cost,blue_cost,orange_cost,pink_cost,purple_cost,yellow_cost,green_cost,rainbow_cost,max_in_deck,type,icon
1,,Archer,Ignores *Guardian*.,3,3,blue,Base,,Base Cards,2,,1,,,,,,,4,minion,
2,,Blue Champion,*Frost-Touch*. *On Play*: Gain *HP +1* for each Blue minion you control.,5,6,blue,Legendary,,Base Cards,1,,5,,,,,,,1,minion,
3,,Defender,*Guardian*.,3,3,blue,Base,,Base Cards,2,,1,,,,,,,4,minion,
4,,Energy Blast,Deal 6 Damage to target minion.,,,blue,Base,,Base Cards,2,,2,,,,,,,4,spell,
5,,Flying Machine,~Deploying precision strikes with relentless energy.~,5,5,blue,Base,,Base Cards,1,,4,,,,,,,4,minion,
6,,General,"While in play, Reduce the costs of minions with Power of 3 or less by 1 Colorless Gem,",3,2,blue,Base,,Base Cards,1,,2,,,,,,,4,minion,
7,,Light Infusion,Give target minion *Frost-Touch* and *+1/+1*.,,,blue,Common,,Base Cards,,,1,,,,,,,4,spell,
8,,Officer,*On Play*: Give *Power +1* to another target minion you control.,2,2,blue,Base,,Base Cards,1,,1,,,,,,,4,minion,
9,,Replicator,*Turn Start*: Spawn a new Replicator minion.,1,1,blue,Base,,Base Cards,1,,1,,,,,,,4,minion,
10,,Spear Cavalry,"When attacking a minion, deal 3 damage to a random enemy minion.",3,3,blue,Base,,Base Cards,1,,3,,,,,,,4,minion,
11,,Swordsman,~Trained in the art of the blade.~,1,1,blue,Base,,Base Cards,,,1,,,,,,,4,minion,
12,,Tank,*On Play*: Give *HP +2* to each other minion you control.,4,5,blue,Base,,Base Cards,2,,4,,,,,,,4,minion,
13,,Wizard,*Turn Start*: Add a Blue Recharge card to your hand.,1,2,blue,Base,,Base Cards,,,2,,,,,,,4,minion,
14,,Yield Farming,Draw 2 cards.,,,blue,Base,,Base Cards,1,,2,,,,,,,4,spell,
15,,Bear Market,"*Season*. Deal 1 damage to all minions. Whenever a minion is summoned, deal 1 damage to it.",,,blue,Common,,Tempus,,,1,,,,,,,4,season,
16,45,Coiled Naga,*Frost-Touch*.,2,2,blue,Common,3000,Genesis,1,,1,,,,,,,4,minion,
17,38,Penguin Mage,*On Play*: Gain 1 Depleted Blue Gem. *On Death*: Lose 1 Blue Gem.,3,3,blue,Common,2800,Genesis,2,,1,,,,,,,4,minion,
18,,Yeti,Gain *Power +1* each time a minion is Frozen.,3,5,blue,Common,,Tempus,3,,1,,,,,,,4,minion,
19,78,Geminii,*Multi-Strike 2*. *On Play*: Freeze 2 random enemy minions.,4,7,blue,Legendary,200,Tempus,4,,3,,,,,,,1,minion,
20,56,Greed,Draw a card for each Gem you have. Take an additional turn after this one.,,,blue,Legendary,200,The 7 Deadly Sins,7,,5,,,,,,,1,spell,
21,4,Hoskinson,*Frost-Touch*. *On Play*: Deal 6 damage to all frozen minions.,7,7,blue,Legendary,250,Genesis,4,,3,,,,,,,1,minion,TRUE
22,69,The BlockFather,*On Play*: Flip a coin for each minion. *Heads* - Destroy it *Tails* - Freeze it,8,8,blue,Legendary,200,Promotional Cards,5,,5,,,,,,,1,minion,TRUE
23,68,Avalanche,Draw a card for each frozen minion.,,,blue,Rare,600,Promotional Cards,,,3,,,,,,,3,spell,
24,63,Charity,"*Season*. At the end of each turn, the active player draws a card.",,,blue,Rare,600,The 7 Deadly Sins,,,2,,,,,,,3,spell,
25,87,Cold Storage,Freeze all enemy minions.,,,blue,Rare,600,Tempus,1,,2,,,,,,,3,spell,
26,14,Kraken,"Whenever this minion attacks a frozen minion, it gains *Forcefield*.",5,5,blue,Rare,750,Genesis,2,,3,,,,,,,3,minion,
27,11,SBF,"Whenever an enemy minions is frozen, deal 2 damage to a random enemy character.",2,7,blue,Rare,600,Genesis,2,,3,,,,,,,3,minion,
28,,HODL,Add 2 Blue Recharge Cards to your hand.,,,blue,Uncommon,,Tempus,,,1,,,,,,,4,spell,
29,,Leviathan,*Power +1* for each Gem you control.,0,6,blue,Uncommon,,Tempus,4,,3,,,,,,,4,minion,
30,31,Snow Leopard,*Power +2* when attacking a Frozen minion. *On Stake (3)*: Deal 2 damage to a random enemy character.,4,3,blue,Uncommon,1600,Genesis,2,,1,,,,,,,4,minion,
31,26,Water Elemental,*Frost-Touch*. *On Play*: Freeze a random enemy minion for each Elemental you control.,4,4,blue,Uncommon,1500,Genesis,2,,2,,,,,,,4,minion,
32,,Frostbite (Arsenal of Sin),Freeze 2 random enemy minions.,,,blue,,,The 7 Deadly Sins,,,,,,,,,1,,spell,
33,,Archer,Ignores *Guardian*.,3,3,green,Base,,Base Cards,2,,,,,,,1,,4,minion,
34,,Defender,*Guardian*.,3,3,green,Base,,Base Cards,2,,,,,,,1,,4,minion,
35,,Energy Blast,Deal 6 Damage to target minion.,,,green,Base,,Base Cards,2,,,,,,,2,,4,spell,
36,,Flying Machine,~Deploying precision strikes with relentless energy.~,5,5,green,Base,,Base Cards,1,,,,,,,4,,4,minion,
37,,General,"While in play, Reduce the costs of minions with Power of 3 or less by 1 Colorless Gem,",3,2,green,Base,,Base Cards,1,,,,,,,2,,4,minion,
38,,Green Champion,*Guardian*. *On Play*: Gain *Thorns +1* for each Green minion you control.,6,6,green,Legendary,,Base Cards,1,,,,,,,5,,1,minion,
39,,Light Infusion,Give a minion you control: *Thorns +3* OR *Venom +3*,,,green,Common,,Base Cards,,,,,,,,1,,4,spell,
40,,Officer,*On Play*: Give *Power +1* to another target minion you control.,2,2,green,Base,,Base Cards,1,,,,,,,1,,4,minion,
41,,Replicator,*Turn Start*: Spawn a new Replicator minion.,1,1,green,Base,,Base Cards,1,,,,,,,1,,4,minion,
42,,Spear Cavalry,"When attacking a minion, deal 3 damage to a random enemy minion.",3,3,green,Base,,Base Cards,1,,,,,,,3,,4,minion,
43,,Swordsman,~Trained in the art of the blade.~,1,1,green,Base,,Base Cards,,,,,,,,1,,4,minion,
44,,Tank,*On Play*: Give *HP +2* to each other minion you control.,4,5,green,Base,,Base Cards,2,,,,,,,4,,4,minion,
45,,Wizard,*Turn Start*: Add a Green Recharge card to your hand.,1,2,green,Base,,Base Cards,,,,,,,,2,,4,minion,
46,,Yield Farming,Draw 2 cards.,,,green,Base,,Base Cards,1,,,,,,,2,,4,spell,
47,,Paper Hands,*Season*. All minions have *Power -1*.,,,green,Common,,Tempus,,,,,,,,,,4,season,
48,39,Smoothie,*Guardian*. *On Play*: Gain *Venom +1* and *Thorns +7*.,0,5,green,Common,2800,Genesis,2,,,,,,,2,,4,minion,
49,,Tree Mage,*On Play*: Gain 1 Depleted Green Gem. *On Death*: Lose 1 Green Gem.,3,3,green,Common,,Tempus,2,,,,,,,1,,4,minion,
50,46,Wood Elf,*On Play*: Gain *Venom +3*.,3,3,green,Common,3000,Genesis,2,,,,,,,1,,4,minion,
51,77,Blaze Dog,*On Play*: Gain *Venom +420* and give your other minions *Venom +2*.,6,9,green,Legendary,200,Tempus,4,,,,,,,3,,1,minion,TRUE
52,55,Temperance,Restore your hero to full health. You cannot stake cards for the remainder of the game.,,,green,Legendary,200,The 7 Deadly Sins,,,,,,,,5,,1,spell,
53,5,Vitalik,*On Play*: Deal 4 damage to all other minions.,7,7,green,Legendary,250,Genesis,5,,,,,,,3,,1,minion,TRUE
54,67,Chubbi Aliens,Summon a Chubbi Alien with Power and HP equal to the amount of Chubbi Aliens Spells you've played. Shuffle this into your deck.,,,green,Rare,600,Promotional Cards,1,,,,,,,3,,3,spell,
55,70,Crypto Exchange,"*Season*. *Market Up* - Players may stake an additional card each turn. *Market Down* - When you stake a card, draw an additional card.",,,green,Rare,600,Promotional Cards,,,,,,,,2,,3,spell,
56,62,Gluttony,"~Some say that Gluttony's appetite is a sin, but who can stand against a minion that is never truly full?~",9,9,green,Rare,600,The 7 Deadly Sins,,,,,,,,6,,3,minion,
57,85,Kapre,*On Play*: Gain *Venom +2*. Also gain *Venom +1* for each enemy minion in play.,5,8,green,Rare,600,Tempus,4,,,,,,,2,,3,minion,
